"","V1","V2"
"320","ALK","MAP3K4"
"321","ALK","MUC6"
"322","ALK","NIPBL"
"323","ALK","NOTCH1"
"324","ALK","NOTCH2"
"325","ALK","PDS5B"
"326","ALK","PIK3CG"
"327","ALK","PTPRC"
"328","ALK","RAD21"
"329","ALK","RNF111"
"330","ALK","TSC2"
"331","ALK","TXNIP"
"332","ALK","USP9X"
"333","AMER1","ATF7IP"
"334","AMER1","BAP1"
"335","AMER1","BCOR"
"336","AMER1","CARD11"
"337","AMER1","CDH1"
"338","AMER1","CIC"
"339","AMER1","CTNNB1"
"340","AMER1","DNMT3A"
"341","AMER1","EEF2"
"342","AMER1","EGFR"
"343","AMER1","HGF"
"344","AMER1","JAK3"
"345","AMER1","KIF1A"
"346","AMER1","LATS1"
"347","AMER1","MSH2"
"348","AMER1","MUC6"
"349","AMER1","NIPBL"
"350","AMER1","NOTCH2"
"351","AMER1","PDS5B"
"352","AMER1","PIK3CG"
"353","AMER1","PTPRC"
"354","AMER1","RAD21"
"355","AMER1","RNF111"
"356","AMER1","SF1"
"357","AMER1","SIN3A"
"358","AMER1","TAF1"
"359","AMER1","TSC2"
"360","AMER1","TXNIP"
"361","AMER1","USP9X"
"362","APC","ARHGAP35"
"363","APC","ASXL1"
"364","APC","ATRX"
"365","APC","CUL1"
"366","APC","EPHA3"
"367","APC","FLNA"
"368","APC","NSD1"
"369","APC","POLE"
"370","APC","SMARCA4"
"371","APC","WHSC1"
"372","APOB","DMD"
"373","APOB","ELF3"
"374","APOB","FAT1"
"375","APOB","FBXW7"
"376","AR","ATXN3"
"377","AR","B2M"
"378","AR","CCND1"
"379","AR","CD70"
"380","AR","CUL3"
"381","AR","EGR3"
"382","AR","ESR1"
"383","AR","FOXA2"
"384","AR","FUBP1"
"385","AR","H3F3A"
"386","AR","HIST1H1E"
"387","AR","HLA-B"
"388","AR","IDH1"
"389","AR","IL6ST"
"390","AR","IRF6"
"391","AR","KDM5C"
"392","AR","KRT222"
"393","AR","LATS2"
"394","AR","MSH3"
"395","AR","MYCN"
"396","AR","NRAS"
"397","AR","PIK3R2"
"398","AR","PMS1"
"399","AR","PPP2R1A"
"400","AR","RAF1"
"401","AR","RARA"
"402","AR","RNF43"
"403","AR","SMAD2"
"404","AR","SMARCB1"
"405","AR","SPOP"
"406","AR","SRSF2"
"407","AR","TCF12"
"408","AR","TGFBR2"
"409","AR","TGIF1"
"410","AR","U2AF1L4"
"411","AR","WT1"
"412","AR","ZBTB20"
"413","ARAF","AXIN1"
"414","ARAF","BCL2"
"415","ARAF","BCL2L11"
"416","ARAF","CBFB"
"417","ARAF","CD79B"
"418","ARAF","CDK4"
"419","ARAF","CDKN1B"
"420","ARAF","CDKN2C"
"421","ARAF","CEBPA"
"422","ARAF","CYLD"
"423","ARAF","CYSLTR2"
"424","ARAF","DAZAP1"
"425","ARAF","GNA11"
"426","ARAF","GNAQ"
"427","ARAF","H3F3C"
"428","ARAF","HLA-A"
"429","ARAF","IDH2"
"430","ARAF","LEMD2"
"431","ARAF","MAP2K1"
"432","ARAF","MAP2K4"
"433","ARAF","MAPK1"
"434","ARAF","MEN1"
"435","ARAF","MGMT"
"436","ARAF","MYC"
"437","ARAF","NPM1"
"438","ARAF","PAX5"
"439","ARAF","PIM1"
"440","ARAF","PPM1D"
"441","ARAF","PPP6C"
"442","ARAF","PRKAR1A"
"443","ARAF","PTPN11"
"444","ARAF","RAC1"
"445","ARAF","RHEB"
"446","ARAF","RPL5"
"447","ARAF","SOX17"
"448","ARAF","TCF7L2"
"449","ARAF","TRAF3"
"450","ARAF","UNCX"
"451","ARAF","VHL"
"452","ARAF","ZCCHC12"
"453","ARHGAP35","ATRX"
"454","ARHGAP35","CUL1"
"455","ARHGAP35","FLNA"
"456","ARHGAP35","KANSL1"
"457","ARHGAP35","MET"
"458","ARHGAP35","NSD1"
"459","ARHGAP35","PDGFRA"
"460","ARHGAP35","PLXNB2"
"461","ARHGAP35","WHSC1"
"462","ARID1A","MACF1"
"463","ARID2","ATR"
"464","ARID2","CHD4"
"465","ARID2","PTPRD"
"466","ARID2","ZFHX3"
"467","ARID5B","ATF7IP"
"468","ARID5B","AXIN2"
"469","ARID5B","BAP1"
"470","ARID5B","BRAF"
"471","ARID5B","CASP8"
"472","ARID5B","CDKN1A"
"473","ARID5B","CTNNB1"
"474","ARID5B","DACH1"
"475","ARID5B","DDX3X"
"476","ARID5B","EEF2"
"477","ARID5B","EPAS1"
"478","ARID5B","FGFR2"
"479","ARID5B","FOXQ1"
"480","ARID5B","GNA13"
"481","ARID5B","HGF"
"482","ARID5B","JAK3"
"483","ARID5B","KIT"
"484","ARID5B","MAP3K1"
