"","V1","V2"
"534","CNBD1","RET"
"535","CNBD1","RUNX1"
"536","CNBD1","TET2"
"537","CNBD1","ZBTB7B"
"538","CNBD1","ZMYM2"
"539","COL5A1","EPHA2"
"540","COL5A1","HIST1H1C"
"541","COL5A1","MTOR"
"542","COL5A1","PSIP1"
"543","COL5A1","RHOA"
"544","COL5A1","ZFP36L1"
"545","CREB3L3","FGFR1"
"546","CREB3L3","FLT3"
"547","CREB3L3","GABRA6"
"548","CREB3L3","IL7R"
"549","CREB3L3","IRF2"
"550","CREB3L3","JAK2"
"551","CREB3L3","NUP133"
"552","CREB3L3","PHF6"
"553","CREB3L3","PIK3R1"
"554","CREB3L3","PMS2"
"555","CREB3L3","PTPDC1"
"556","CREB3L3","RFC1"
"557","CREB3L3","RPS6KA3"
"558","CREB3L3","SMAD4"
"559","CREB3L3","SMC3"
"560","CREB3L3","TBL1XR1"
"561","CREB3L3","TLR4"
"562","CREB3L3","XPO1"
"563","CREBBP","SPTAN1"
"564","CREBBP","STAG2"
"565","CSDE1","EEF1A1"
"566","CSDE1","EZH2"
"567","CSDE1","KEAP1"
"568","CSDE1","KEL"
"569","CSDE1","PGR"
"570","CSDE1","PLCB4"
"571","CSDE1","RASA1"
"572","CSDE1","SMARCA1"
"573","CSDE1","SOX9"
"574","CSDE1","TNFAIP3"
"575","CSDE1","ZFP36L2"
"576","CSDE1","ZNF133"
"577","CTCF","DHX9"
"578","CTCF","GNAS"
"579","CTCF","GRIN2D"
"580","CTCF","GTF2I"
"581","CTCF","INPPL1"
"582","CTCF","KLF5"
"583","CTCF","MAP3K4"
"584","CTCF","NOTCH1"
"585","CTNNB1","EEF2"
"586","CTNNB1","HGF"
"587","CTNNB1","JAK3"
"588","CTNNB1","MSH2"
"589","CTNNB1","SF1"
"590","CTNNB1","SIN3A"
"591","CTNNB1","TAF1"
"592","CTNND1","ERBB4"
"593","CTNND1","FOXA1"
"594","CTNND1","GATA3"
"595","CTNND1","GPS2"
"596","CTNND1","JAK1"
"597","CTNND1","LZTR1"
"598","CTNND1","MLH1"
"599","CTNND1","NUP93"
"600","CTNND1","PIK3CB"
"601","CTNND1","RET"
"602","CTNND1","RUNX1"
"603","CTNND1","TET2"
"604","CTNND1","ZBTB7B"
"605","CTNND1","ZMYM2"
"606","CUL1","FLNA"
"607","CUL3","ESR1"
"608","CUL3","HLA-B"
"609","CUL3","IDH1"
"610","CUL3","KDM5C"
"611","CUL3","MYCN"
"612","CUL3","PMS1"
"613","CUL3","PPP2R1A"
"614","CUL3","SMAD2"
"615","CUL3","SMARCB1"
"616","CUL3","U2AF1L4"
"617","CUL3","WT1"
"618","CYLD","CYSLTR2"
"619","CYLD","DAZAP1"
"620","CYLD","GNA11"
"621","CYLD","HLA-A"
"622","CYLD","IDH2"
"623","CYLD","MAP2K4"
"624","CYLD","MEN1"
"625","CYLD","MYC"
"626","CYLD","PPM1D"
"627","CYLD","PPP6C"
"628","CYLD","PRKAR1A"
"629","CYLD","RAC1"
"630","CYLD","RPL5"
"631","CYLD","SOX17"
"632","CYLD","TRAF3"
"633","CYSLTR2","DAZAP1"
"634","CYSLTR2","GNA11"
"635","CYSLTR2","HLA-A"
"636","CYSLTR2","IDH2"
"637","CYSLTR2","MAP2K4"
"638","CYSLTR2","MEN1"
"639","CYSLTR2","MYC"
"640","CYSLTR2","PPM1D"
"641","CYSLTR2","PPP6C"
"642","CYSLTR2","PRKAR1A"
"643","CYSLTR2","RAC1"
"644","CYSLTR2","RPL5"
"645","CYSLTR2","SOX17"
"646","CYSLTR2","TRAF3"
"647","DACH1","DDX3X"
"648","DACH1","KIT"
"649","DACH1","MAP3K1"
"650","DACH1","MSH6"
"651","DACH1","NF2"
"652","DACH1","PCBP1"
"653","DACH1","POLRMT"
"654","DACH1","TBX3"
"655","DACH1","THRAP3"
"656","DACH1","ZC3H12A"
"657","DAZAP1","GNA11"
"658","DAZAP1","HLA-A"
"659","DAZAP1","IDH2"
"660","DAZAP1","MAP2K4"
"661","DAZAP1","MEN1"
"662","DAZAP1","MYC"
"663","DAZAP1","PPM1D"
"664","DAZAP1","PPP6C"
"665","DAZAP1","PRKAR1A"
"666","DAZAP1","RAC1"
"667","DAZAP1","RPL5"
"668","DAZAP1","SOX17"
"669","DAZAP1","TRAF3"
"670","DDX3X","KIT"
"671","DDX3X","MAP3K1"
"672","DDX3X","MSH6"
"673","DDX3X","NF2"
"674","DDX3X","PCBP1"
"675","DDX3X","POLRMT"
"676","DDX3X","TBX3"
"677","DDX3X","THRAP3"
"678","DDX3X","ZC3H12A"
"679","DHX9","GNAS"
