,TCGA.A1.A0SK.01A,TCGA.A1.A0SM.01A,TCGA.A2.A04P.01A,TCGA.A2.A04Q.01A,TCGA.A2.A04R.01A,TCGA.A2.A0CM.01A,TCGA.A2.A0D0.01A,TCGA.A2.A0D2.01A,TCGA.A2.A0D4.01A,TCGA.A2.A0ER.01A,TCGA.A2.A0EY.01A,TCGA.A2.A0ST.01A,TCGA.A2.A0SV.01A,TCGA.A2.A0SX.01A,TCGA.A2.A0T2.01A,TCGA.A2.A0T3.01A,TCGA.A2.A0T4.01A,TCGA.A2.A0YG.01A,TCGA.A2.A0YH.01A,TCGA.A2.A0YM.01A,TCGA.A7.A0CE.01A,TCGA.A7.A0CJ.01A,TCGA.A7.A0DA.01A,TCGA.A8.A06N.01A,TCGA.A8.A06O.01A,TCGA.A8.A06Z.01A,TCGA.A8.A07O.01A,TCGA.A8.A07U.01A,TCGA.A8.A07W.01A,TCGA.A8.A082.01A,TCGA.A8.A085.01A,TCGA.A8.A08G.01A,TCGA.A8.A08H.01A,TCGA.A8.A08I.01A,TCGA.A8.A08R.01A,TCGA.A8.A096.01A,TCGA.A8.A097.01A,TCGA.A8.A09C.01A,TCGA.A8.A09D.01A,TCGA.A8.A09I.01A,TCGA.A8.A09M.01A,TCGA.A8.A09N.01A,TCGA.A8.A09Q.01A,TCGA.A8.A09R.01A,TCGA.A8.A0A9.01A,TCGA.AN.A03Y.01A,TCGA.AN.A041.01A,TCGA.AN.A049.01A,TCGA.AN.A04D.01A,TCGA.AN.A0AJ.01A,TCGA.AN.A0AL.01A,TCGA.AN.A0AM.01A,TCGA.AN.A0FF.01A,TCGA.AN.A0FJ.01A,TCGA.AN.A0FK.01A,TCGA.AN.A0FX.01A,TCGA.AN.A0FY.01A,TCGA.AN.A0XR.01A,TCGA.AN.A0XW.01A,TCGA.AO.A03O.01A,TCGA.AO.A0J3.01A,TCGA.AO.A0J4.01A,TCGA.AO.A0J6.01A,TCGA.AO.A0J7.01A,TCGA.AO.A0JD.01A,TCGA.AO.A0JI.01A,TCGA.AO.A0JL.01A,TCGA.AO.A124.01A,TCGA.AO.A129.01A,TCGA.AO.A12B.01A,TCGA.AO.A12F.01A,TCGA.AQ.A04H.01B,TCGA.AQ.A04J.01A,TCGA.AR.A0TS.01A,TCGA.AR.A0TT.01A,TCGA.AR.A0TY.01A,TCGA.AR.A0TZ.01A,TCGA.AR.A0U1.01A,TCGA.AR.A0U2.01A,TCGA.AR.A0U3.01A,TCGA.AR.A1AH.01A,TCGA.AR.A1AI.01A,TCGA.AR.A1AJ.01A,TCGA.AR.A1AQ.01A,TCGA.AR.A1AR.01A,TCGA.AR.A1AV.01A,TCGA.AR.A1AY.01A,TCGA.B6.A0I2.01A,TCGA.B6.A0IC.01A,TCGA.B6.A0IJ.01A,TCGA.B6.A0IQ.01A,TCGA.B6.A0RT.01A,TCGA.B6.A0RU.01A,TCGA.B6.A0WV.01A,TCGA.B6.A0WW.01A,TCGA.B6.A0WX.01A,TCGA.B6.A0X5.01A,TCGA.BH.A0AU.01A,TCGA.BH.A0AY.01A,TCGA.BH.A0B3.01A,TCGA.BH.A0B5.01A,TCGA.BH.A0B9.01A,TCGA.BH.A0BD.01A,TCGA.BH.A0BF.01A,TCGA.BH.A0BW.01A,TCGA.BH.A0BZ.01A,TCGA.BH.A0C0.01A,TCGA.BH.A0DL.01A,TCGA.BH.A0E0.01A,TCGA.BH.A0H0.01A,TCGA.BH.A0HU.01A,TCGA.BH.A0HW.01A,TCGA.BH.A0RX.01A,TCGA.BH.A0W3.01A,TCGA.BH.A0WA.01A,TCGA.BH.A18F.01A,TCGA.BH.A18J.01A,TCGA.BH.A18K.01A,TCGA.BH.A18L.01A,TCGA.BH.A18Q.01A,TCGA.BH.A18U.01A,TCGA.BH.A18V.01A,TCGA.BH.A1EW.01A,TCGA.BH.A1F0.01A,TCGA.C8.A12K.01A,TCGA.C8.A12W.01A,TCGA.C8.A12X.01A,TCGA.C8.A131.01A,TCGA.C8.A134.01A,TCGA.C8.A1HL.01A,TCGA.C8.A1HM.01A,TCGA.D8.A142.01A,TCGA.D8.A147.01A,TCGA.E2.A10A.01A,TCGA.E2.A10C.01A,TCGA.E2.A14N.01A,TCGA.E2.A14O.01A,TCGA.E2.A14R.01A,TCGA.E2.A14S.01A,TCGA.E2.A14X.01A,TCGA.E2.A14Y.01A,TCGA.E2.A150.01A,TCGA.E2.A158.01A,TCGA.E2.A159.01A,TCGA.E2.A15M.01A
BHLHB3,1.28975,0.01025,-1.676,1.40075,-0.9045,-0.18225,0.35,0.22475,-1.081,-1.3305,-0.568,0.38375,-1.0595,1.1,-2.43625,-0.39325,0.418,-0.50325,0.01925,1.41725,-0.29275,-1.62725,0.2995,-2.105,-0.71025,-1.49775,-0.77475,1.52675,-0.31475,0.37325,-0.8725,-1.0735,0.3385,0.6605,-0.17,0.0135,0.38525,2.10925,0.16775,-1.3035,-0.58,-0.5735,-0.529,-0.16825,-0.64025,2.88575,0.273,-0.7665,-3.65075,-0.92425,-0.39875,-0.8079999999999999,-0.73,2.68675,-1.88675,0.9775,-1.32875,-1.908,0.136,-1.47225,-2.813,-0.253,-1.21275,-1.09575,-0.4425,-1.26,-2.52,-0.08025,0.88725,-1.72525,1.28875,-1.14075,-0.3,-1.4555,0.37175,-1.7965,-0.57925,1.1605,-1.1095,1.774,3.87075,1.6425,-0.3625,1.68075,-0.69,0.93275,1.319,0.198,-0.2085,0.1265,1.35825,0.313,-0.623,-0.7985,-1.124,1.5119999999999998,-0.54575,0.00025,0.133,-0.4695,1.07525,1.924,-0.39875,0.2155,0.01075,0.01425,-0.743,1.149,-1.66875,-1.768,-0.55375,-4.02125,-0.4955,-0.0855,-0.05425,1.5925,-0.7265,1.806,-2.615,-1.1235,-1.304,-0.6445,-0.988,0.528,0.53575,-0.034,-1.4305,0.459,1.009,1.65075,-1.4735,0.1005,1.525,-0.705,1.81125,0.07475,-1.57925,-1.231,-0.62325,0.0765,-1.46025,0.9875,-3.277,-1.18425,0.50125
MALL,-0.0615,0.049,1.256,2.21775,-0.14425,1.6395,0.6025,0.46875,-0.08025,-0.67375,0.5375,0.46775,-0.344,1.83125,2.0805,0.11975,0.61275,-0.55725,-0.6635,0.1345,0.1345,-0.88975,0.857,-1.0785,-0.742,-1.4995,0.10275,1.21875,-0.3315,-0.474,-0.622,-0.6075,1.0995,-0.73375,1.57225,-0.59675,-0.183,-1.03925,-0.27475,-0.191,-0.96425,-0.398,-0.86125,-0.29675,-0.4425,-0.3105,-0.16625,-0.4805,0.9445,-0.4375,2.431,-0.7,-0.263,1.823,-0.58725,1.26225,-0.3715,-1.709,-0.33775,-0.54,-1.249,2.11025,2.199,-1.3675,-1.02375,-0.79825,0.58875,2.36175,0.21825,-0.6845,1.2505,0.2905,1.75,2.0540000000000003,-0.099,-0.1605,-0.298,2.717,-0.59575,-0.14475,1.27425,0.90575,0.113,0.65425,0.71075,0.0,-1.048,1.95375,-1.6935,0.7955,-0.2755,1.91325,1.4580000000000002,-0.0805,-0.39575,1.37225,0.29325,-0.4885,-0.1555,2.31525,-0.0045,-0.598,-0.17475,0.35725,1.90825,0.14575,-0.72725,2.60325,-0.68425,-0.5055,-1.3305,-0.84625,0.3765,-1.21775,2.1095,0.29575,-0.4075,-0.36075,-0.332,2.0975,-0.162,2.4075,1.0659999999999998,0.81025,0.26175,-0.7525,-0.1805,1.99675,0.72325,1.0775,-0.33325,2.917,0.9495,-0.7235,-0.90925,0.3895,-0.75075,0.2465,-0.3015,2.21175,3.10625,2.5965,1.01875,2.73325,0.5085
OR1B1,-0.9305,-0.4185,-0.033,-0.606,-0.0085,0.488,0.324,0.0755,-0.015,-0.3825,1.121,0.251,-0.039,-0.1705,0.362,0.3045,0.511,0.139,-0.3,-0.1925,0.1855,0.1375,-0.4185,-0.342,0.272,1.3435,0.228,-0.223,-0.2155,-0.44,0.4795,-0.1495,0.106,-0.0915,-0.224,0.1255,-0.2925,-0.7365,-0.2025,0.547,0.0255,-0.215,-0.34600000000000003,0.1435,-0.188,-0.0155,0.365,-0.149,0.238,-0.0885,-0.274,-0.0355,-0.2055,0.235,-0.8075,-0.044,-0.251,0.086,0.1285,0.1435,0.35600000000000004,-0.27,-0.623,0.085,-0.4335,-0.848,0.338,-0.0875,-0.301,0.04,0.4615,-0.1465,-0.2555,-0.249,0.1525,0.417,-0.423,0.126,-0.0245,0.1855,-0.26,-1.517,-0.028,-0.042,0.2255,-0.224,1.2145,-0.35,0.2305,0.0535,-0.179,-0.539,-0.2735,0.8195,0.43,-0.244,-0.267,-0.4665,0.078,-0.0445,0.0945,-0.4845,-0.0375,-0.8395,0.32299999999999995,-0.438,-0.5105,-0.312,-1.034,0.1815,0.8985,0.302,-0.11,-0.117,-0.14800000000000002,0.2275,0.0625,-0.2015,0.37,-0.293,0.5579999999999999,0.0565,0.006999999999999999,0.158,-0.1435,0.17600000000000002,0.0095,0.112,-0.257,1.026,0.2685,0.0185,-0.647,-0.109,0.071,-0.7165,0.242,0.097,0.3015,0.1705,0.0355,-0.297,0.2655,-0.312,0.133
PARK2,1.013667,0.389833,-0.6335,0.9205,-0.335,-0.297667,0.5955,-0.275167,-0.554167,0.38,-0.209667,1.106333,-0.154667,0.895167,-0.225,0.280833,-0.024167,-0.147,0.160667,-0.237,0.251833,-0.526667,1.188,0.450167,0.2585,0.386,0.265333,-0.1065,0.222,0.580833,-0.133,0.9975,-0.081,-0.36,0.273,0.560667,0.043167,-0.207833,0.722333,-0.2795,0.5986670000000001,-0.566667,0.112367,0.545167,-1.041167,0.8909999999999999,-0.033667,0.043833,-0.051,-0.223333,0.28800000000000003,-0.13583299999999998,-0.584333,-0.110433,-0.190033,-0.214667,-0.314333,-0.138667,0.766833,-0.4525,-1.189333,-0.248667,0.112,-0.648,0.142333,-0.385233,-0.471833,-0.250833,-0.13933299999999998,0.9045,0.005667,0.5710000000000001,0.559667,0.067,0.2585,-0.2465,-0.247167,-0.050333,-0.2905,-0.027167,-0.749667,0.988167,-0.0995,0.602,-0.180833,1.033167,0.188767,0.166,0.2375,-0.402,-0.269,0.36,-0.208,0.633,-0.309333,0.120333,-0.357833,0.2925,-0.044167000000000005,0.363667,-0.3075,-0.229333,0.733167,0.224967,-0.096167,0.4655,-0.168167,0.167167,0.126333,-0.433167,-0.06766699999999999,-0.093033,0.071667,-0.078667,-0.051833,-0.158333,-0.109833,0.247833,-0.294333,0.687167,-0.4335,-0.358833,-0.0465,0.448167,-0.007667,-0.3345,0.664833,-0.428,-0.1555,-0.196667,-0.628167,0.342333,-0.5605,-0.013667,-0.384833,-0.198167,-0.3485,-0.308333,0.028667,1.221,-0.294,-0.4885,-0.099167,0.797333,0.056833
GPR124,0.14,0.175125,1.57975,0.32925,-0.559875,-0.41175,-0.318875,0.29375,-0.212875,-0.63175,-1.026625,-0.3045,0.86625,0.9535,-0.136125,-0.245375,1.090375,-0.6809999999999999,0.0785,-0.198,-0.364125,-0.4085,1.536625,-2.41575,-0.47875,-0.97575,-0.91275,0.06175,-0.490875,0.219625,0.06425,-0.08275,0.609375,-1.8035,-0.02725,0.299375,0.54025,-0.21275,0.7455,-0.42925,-0.993125,-0.2785,0.259875,0.233,-0.248125,-0.31275,1.26225,-0.001625,-0.752375,-0.35425,0.156875,-0.597875,-0.09725,0.414125,-0.392875,0.529875,0.34075,-0.703625,0.25675,-0.6675,-1.39325,-0.34175,-0.129,-0.68075,-1.19075,-0.640875,1.25225,-0.768375,0.14425,-0.508375,-0.29925,0.41475,0.66525,0.003625,-0.048,-0.524,-0.045,-0.202625,-0.939,-1.226125,-0.819375,-1.921625,0.25375,-0.55675,-0.122375,-0.3185,-0.361625,-0.701625,-1.7675,-0.328375,-0.8590000000000001,0.836,0.148375,-1.20025,-0.317625,0.79275,-0.617875,-0.094125,0.52825,0.410375,0.6,-1.136875,-0.32125,0.392875,-0.5905,-0.29125,-0.695875,-0.98,-0.755,-0.733375,-0.366125,-0.65325,0.12775,-1.72475,-0.012375,0.1605,0.261625,-0.63375,-0.92175,-1.172875,-0.04225,-0.05575,0.027625,0.079125,-0.633,-0.026125,-0.421,0.08,0.610375,0.476125,-1.421375,0.802125,-0.752875,-0.0865,0.0225,-1.68975,-0.552,-0.78475,-0.366125,-0.144875,-0.956125,-0.115625,-0.670875,-0.446125,0.791875
LCE1E,0.2975,-0.4205,0.3315,0.0315,0.012,0.0715,0.893,0.412,-0.3645,0.203,2.178,0.507,-0.1715,-0.1565,-0.7020000000000001,-0.5425,-0.057,-0.229,-0.0305,-0.111,0.981,-0.3685,0.624,0.2705,-0.095,0.398,0.034,0.0775,1.129,-0.6605,-0.467,0.0815,-0.341,-0.079,-0.611,0.1555,-0.0255,0.4745,0.304,-0.116,0.153,0.108,1.121,0.637,0.82,-1.07,0.0535,0.211,0.423,0.2685,-0.2955,0.1795,0.3115,-0.2405,0.4545,-0.122,-0.528,-0.1135,0.4285,0.895,0.8115,-0.0825,0.5539999999999999,-0.055,-0.295,0.136,0.013,0.0555,-0.093,-0.032,0.0395,-0.0725,-0.194,0.039,-0.085,0.6925,0.108,-0.273,0.262,-0.057,0.7440000000000001,-0.5345,-0.5325,0.35100000000000003,1.4845,0.425,1.588,0.14,0.253,0.7809999999999999,0.114,-0.4885,-0.205,-0.228,-0.1265,-0.0395,-0.0895,0.7879999999999999,0.406,0.0095,0.2465,0.056,-0.189,0.5435,-0.505,-0.1415,-0.3975,-0.0165,0.1275,-0.8585,-0.762,0.4355,0.17,-0.1815,-0.228,-0.0315,-0.264,-0.494,1.2685,-0.7105,-0.044,0.315,-0.4920000000000001,-0.0555,0.3165,0.0285,0.619,-0.0205,0.08199999999999999,0.5605,-0.08800000000000001,0.055,0.2265,-0.6555,-0.16,0.7095,0.703,-1.2805,0.4075,0.0315,-0.52,-0.5685,-0.012,2.03,-0.033
RUVBL2,0.33675,-0.28025,0.2845,0.12125,0.27425,0.60025,0.5095,0.69825,0.77175,-0.093,0.06375,-0.42625,0.04175,-0.57175,-0.21375,1.073,-0.1615,0.16675,0.46975,-0.10675,-0.223,0.151,0.54425,0.0645,1.29,0.06075,0.17625,-0.0385,0.57575,0.3135,0.271,0.0315,-0.6985,-0.034,0.317,-0.4,0.38025,0.38175,0.777,0.192,-0.2615,0.265,0.5589999999999999,-0.07325,0.759,1.006,-0.316,0.31575,-0.07875,0.6890000000000001,-0.25925,0.795,-0.18075,0.081,0.035,-0.394,0.0495,0.2255,0.344,0.593,-0.55775,0.38225,0.37725,0.81675,0.2305,-1.09275,-0.39375,-0.02525,-0.0275,0.21475,0.26425,-0.26975,0.01725,-0.3295,-0.13375,0.34875,0.418,0.224,0.04025,-0.07975,0.19925,0.22025,-0.46275,-0.31275,0.173,-0.05025,-0.225,-1.0785,0.0035,-0.4,-0.17675,0.0625,0.8125,0.51975,0.12675,-0.609,0.13075,-0.33125,-0.329,0.41225,0.44275,-0.16,-0.047,0.53,-0.2215,0.6425,-0.03775,-0.27275,0.58025,1.00725,-0.179,0.20875,-0.0405,0.17175,-0.205,-0.42275,-0.28,-0.622,0.34775,0.72125,0.59025,-0.36175,-0.1005,-0.11125,-0.57325,0.586,0.129,-0.045,0.04225,0.5935,1.11225,-0.26625,0.029,-0.48825,-0.08900000000000001,0.0425,0.1775,0.0015,0.375,0.413,0.4055,-0.1325,-0.3175,-0.37875,0.608
CGRRF1,-0.3979,0.1329,-1.9738,-0.8122,0.5201,-0.6206,-1.1051,-0.8003,0.3161,0.563,-0.6493,-0.4794,-0.6168,-0.7216,-1.4936,0.3811,0.3559,-0.2587,0.3394,-0.5461,-0.8166,0.3994,-0.5597,1.0689,0.292,-0.0795,-0.9263,-1.0052,-0.4452,0.6798,0.2242,0.0194,0.5760000000000001,0.601,-0.922,0.3302,0.5057,0.0506,0.4811,-0.1168,0.5575,-0.5426,-0.3523,0.2362,0.3909,-0.0246,0.1362,0.6127,-0.8822,-0.0466,-0.6058,-0.1324,0.0461,-0.8429,-0.0246,-0.6089,-0.7093,-0.2465,0.15,-0.0814,0.4028,0.2239,-0.2724,0.4262,-0.1254,0.9122,-1.4995,-1.0716,-1.4466,-0.3905,-1.2096,-0.0791,-0.5133,0.0918,-0.3048,-0.4594,0.546,-0.6975,0.0617,0.3029,-0.9097,-1.1932,-0.7349,-0.7637,-0.5985,0.0324,-0.1192,-1.4661,0.5446,-0.7925,-1.2,-0.4266,0.1105,0.4683,0.7033,-0.4978,-0.096,0.4361,-0.441,-0.7137,0.0456,-0.999,0.0451,-0.2267,-0.6709,-1.2297,0.1348,-0.5281,-1.6184,-0.0747,-0.2694,0.4234,-0.7999,0.541,-0.4107,-0.0496,0.1166,-1.0952,1.0089,-1.2565,-0.2335,-1.2536,0.5737,0.1431,0.1252,0.2723,-0.6068,-0.8406,-1.1135,-0.3416,-0.2694,-0.2083,-0.3609,1.2838,-0.8376,-0.7802,-0.1018,-2.0236,0.2553,-0.5268,-2.1178,-0.8505,-1.6128,-0.3837,0.327
ACPL2,0.403,0.7190000000000001,-0.332,-0.07725,0.31325,-1.33925,0.5425,-0.4885,-0.60275,0.24675,1.421,-0.52425,-0.31275,-0.1875,0.17675,-0.09725,-0.08025,-1.14075,-0.74125,0.91125,-0.108,0.62425,1.0815,0.7609999999999999,-0.4155,-0.2275,-0.90025,0.00425,-0.299,-1.29625,-0.88925,-0.80825,-0.3505,0.1735,-0.0985,0.09025,-0.365,0.12625,-0.68175,0.03125,-0.13225,0.4575,0.9295,-0.23625,0.2315,0.70975,1.3965,-0.368,0.69275,1.01425,-0.30875,-0.679,0.0315,2.064,0.48425,0.873,-0.932,-0.102,0.1155,0.08575,1.19025,0.80975,0.27725,0.67725,-0.03725,1.26775,0.02575,0.3115,-0.56375,0.3005,-1.6745,1.43325,-0.28375,0.2195,-1.10325,-0.66675,-0.52675,-0.36175,0.1085,0.68525,-0.424,-0.57025,-0.6435,-0.45975,-0.72275,0.31925,-0.0155,0.5720000000000001,0.27825,0.02075,0.40475,-1.0745,-0.33725,-0.74775,0.094,0.19475,0.3475,0.44425,0.0545,0.72025,0.4115,-0.55525,0.37925,0.23275,0.15875,-0.80775,0.24875,-0.34075,-0.06025,0.1525,0.0835,0.31175,-0.4425,0.5845,0.72175,-0.063,0.0635,-0.1345,-1.8645,0.0405,0.3365,-0.24225,0.05975,-0.56275,1.2465,-0.27275,-0.63325,-1.19075,-0.513,0.117,0.645,0.18600000000000005,0.58825,-0.4765,-0.99525,-0.31725,0.0605,0.77725,-0.324,-1.02625,0.00925,-1.43725,0.91475,-0.06475,-0.0405
WNT10B,0.664125,-0.73,0.13675,0.2395,-0.959125,0.4265,-0.662375,-0.222875,0.2215,-0.8295,0.30725,1.369375,0.81975,2.659875,-0.4055,1.216375,0.904875,1.400125,-0.493875,1.07625,2.345625,-0.317875,1.135375,-1.49825,-0.138375,1.69,0.768125,0.55175,0.63275,-0.902625,-0.982125,-0.118375,0.165875,0.46375,0.7975,-0.38225,-0.538125,-0.47625,-0.273,3.7135,2.127,-0.6075,1.6725,0.3855,-0.076625,0.119625,-0.807375,-0.16775,0.942375,2.191375,-0.112375,2.197375,-0.069625,3.626375,-0.02975,1.10775,1.94725,-0.0125,-0.705375,0.0,-0.852875,0.48225,0.03325,0.024375,-0.431375,1.078625,1.868875,3.30825,0.33825,0.29825,-0.391,0.467375,0.648875,0.550375,2.285,0.998375,0.53575,0.246875,0.167125,-0.26825,-0.316625,0.252875,1.427125,1.850625,0.262875,1.78075,-0.2615,1.869625,0.564,1.060625,0.588,1.91725,0.6025,0.71475,-0.799,0.7070000000000001,-0.674625,-0.3335,0.628,-0.010375,0.521375,1.657875,-0.6355,0.566125,-0.382375,0.9145,0.140375,0.9095,-0.224375,-0.99375,0.00225,-1.3355,0.717125,-1.41075,0.20275,0.723125,0.02475,2.960875,-1.000625,-0.57525,0.84625,3.12125,0.136375,1.685375,0.239375,-0.774875,-0.532625,-0.289875,0.92475,-0.417875,1.507625,0.079875,2.563375,-1.0295,0.942,0.22875,0.0465,0.117375,-0.217625,0.49775,1.421625,-0.726375,0.29675,-0.4805,1.227625
BAIAP2L2,2.019,-0.65475,0.603375,0.413875,-0.186875,2.44125,2.0565,0.240875,-0.130125,-0.021875,-0.14675,0.56775,0.589,1.32275,0.026125,-0.167625,-0.53025,-0.17575,0.871875,0.56925,1.805375,0.08575,0.765875,-0.25475,-0.017375,-0.076125,3.771625,2.62625,-0.40225,-0.14775,-0.2505,-0.527875,1.3685,-0.116125,1.23425,-0.074875,-0.298625,0.5045,-0.02775,-0.056375,-0.23975,0.495,0.120875,-0.325125,-0.173125,-0.389,-0.355375,-0.2045,1.54175,-0.248875,0.26475,0.734875,-0.03025,1.0725,0.31575,3.074125,2.966875,0.113125,-0.12275,-0.336,-0.08875,3.367,0.729125,0.063,-0.373375,0.097875,0.870875,1.629875,1.8255,-0.022375,0.6135,-0.12625,0.775,0.148625,-0.210125,0.363375,-1.026875,3.7285,0.524125,-0.433875,0.154,2.07425,0.143125,1.195875,0.571625,-0.162625,2.25525,2.104,0.316,1.280625,0.71475,3.721375,1.638375,-0.4815,-0.212125,0.20475,-0.214625,0.021,0.304625,1.75,-0.29325,-0.022375,-0.195875,-0.492125,0.18375,0.23525,-0.50775,0.310125,2.633125,-0.2275,0.812875,0.401875,3.461875,-0.236,0.39225,0.62175,-0.3055,1.456375,-0.211625,2.71375,-0.25375,1.044125,0.110875,2.455875,2.056125,2.798,-0.2185,0.8490000000000001,-0.08525,0.22875,-0.1745,-0.531,0.23625,-0.522875,-0.223,0.94525,0.327625,1.965375,-0.47775,3.919,2.91825,2.898,1.5615,1.836,0.197
ISCA1,0.5275,0.076,-0.701,-0.7170000000000001,-0.782,-0.3175,0.08,-0.69,0.226,0.037000000000000005,-0.4665,-0.024,0.084,-0.2695,-0.626,0.5145,0.536,-0.1305,-0.503,-0.3715,0.156,-0.5055,0.0435,0.409,-0.4025,-0.401,0.132,-0.5435,-0.2735,0.0225,0.162,-0.045,-0.4475,-0.715,-0.3825,0.1745,-0.329,-0.486,0.15,-0.479,-0.5755,0.6135,0.0885,0.247,-0.3665,0.084,-0.265,-0.1855,-0.2435,-0.161,-0.29600000000000004,-0.504,-0.7929999999999999,0.2705,0.2565,0.8525,0.044,0.2165,0.2725,-0.213,-0.194,-0.333,0.023,0.4215,-0.399,0.813,-0.5765,-0.518,-0.0775,0.198,-0.4215,0.6920000000000001,-0.46,-0.4305,-0.05,-0.3915,0.7325,-0.9815,0.1365,-0.6435,-0.2065,0.091,-0.2895,-0.479,0.014,0.204,-0.2855,0.204,0.159,0.248,-0.6995,-0.5479999999999999,0.2065,0.201,0.054000000000000006,-0.4885,0.0015,0.0555,0.383,-0.765,-0.0105,-0.6965,-0.2125,0.2735,-0.0595,-0.4655,-0.321,-1.0585,-0.7490000000000001,0.6829999999999999,0.2075,0.5525,0.16399999999999998,-0.5539999999999999,-0.126,0.4195,0.0135,0.079,0.434,-0.6765,0.847,-0.8635,0.56,0.0295,0.103,-0.8759999999999999,-0.132,-0.698,-0.7685,-0.4735,-0.5645,-0.385,-0.13,-0.1725,-0.596,0.677,-0.361,-0.4955,0.1565,-0.7175,-0.0235,-0.282,0.4735,-0.9395,-0.213
C1orf125,-0.666196,0.296875,1.976875,-1.09425,0.04825,0.040875,-0.700339,-0.5605,0.183875,-0.2895,-0.956054,-0.465625,0.550125,0.017,1.871375,-0.267125,0.287,-0.019125,-0.18375,0.459125,-0.52275,0.112375,0.304,0.685,0.537375,-0.3885,0.1365,-0.21875,-0.8109999999999999,-0.202,1.9595,-0.128,-0.2285,-0.30175,-0.15525,-0.10175,-0.353625,0.68775,-0.28275,0.261625,0.13575,0.11075,-0.667425,-0.604125,-0.110196,-0.32825,-0.5985,0.250625,0.664875,2.106625,-0.49525,-0.25575,2.86325,-0.96425,-1.180875,0.135125,-0.310125,0.688125,0.19575,3.5815,-0.25125,-0.429625,-0.476625,-0.0225,0.193375,-0.038911,0.293804,0.22925,1.16125,0.72625,-0.479375,-0.249,0.280625,-0.343125,-0.1895,-1.22025,0.873375,1.06525,-0.04925,0.6835,-0.448875,0.497125,0.105375,-0.212125,-0.391875,0.288125,0.34,-1.1415,0.965,-0.61725,-0.17800000000000002,-0.40975,-0.400125,0.6175,-0.04475,0.211125,0.136,0.51225,-0.092768,0.195125,0.245625,-0.459375,0.187875,-0.802125,0.0715,-0.746875,1.14275,-0.87725,3.944,0.339875,3.926875,0.732625,-0.043054,0.3695,0.30375,-0.200625,-0.466375,-0.510625,-0.70325,0.868875,-0.748375,-0.63175,0.4405,-0.95975,-0.0525,-0.25825,-0.599,-0.124875,-0.561375,-0.604125,1.490875,-0.12575,0.23575,-0.0025,0.287625,0.535625,0.325375,0.84525,0.0145,0.519625,1.923375,-0.385625,0.046625,-0.724125,0.468875
RPAP1,-0.20625,0.02825,0.09375,-0.23525,0.0605,0.00925,-0.21475,0.35225,-0.3765,-0.238,-0.01875,-0.14300000000000002,0.66125,-0.03675,-0.00775,0.22675,0.445,0.048,0.2875,0.1335,-0.8270000000000001,-0.73075,-0.441,0.46625,0.45025,-0.2045,0.87825,0.59675,0.42275,-0.20475,-0.07,-0.502,0.3625,-0.8615,-0.0585,0.0965,0.55225,-0.13025,-0.53575,0.24125,0.1375,-0.616,-0.1945,0.688,0.32775,0.0645,-0.27875,0.58075,-0.7705,0.26,-0.21075,-0.244,-0.09225,0.0345,-1.0295,0.1505,-0.597,-0.3455,0.0035,-0.66125,0.7215,0.21075,0.04675,-0.238,-0.68475,0.7865,1.20925,-1.11075,0.00875,0.09075,0.77375,-0.07475,-0.44725,-0.1625,-0.3215,-0.0645,0.51525,-0.16625,1.3005,0.24775,0.04425,-0.4685,-0.0345,-0.07075,-0.14800000000000002,0.11675,-0.865,0.49125,0.09025,0.34125,0.7125,0.122,0.10375,-0.28375,0.8385,-0.24825,0.49975,-0.0335,-0.07625,-0.54425,-0.211,-0.096,-0.04925,-0.1395,-0.68575,-0.38375,-0.31175,-0.0785,-0.2075,0.3575,0.1735,0.529,-0.267,-0.41825,-0.5529999999999999,-0.3835,-0.63475,0.2835,0.38075,-0.58925,0.685,0.922,0.3075,0.021,-0.63325,0.31825,-0.026,0.495,-0.2135,0.0575,-0.1885,-0.537,0.298,0.84275,-0.08,-0.16,0.27575,-0.66475,-0.1335,-0.478,0.51375,0.0005,0.1055,-0.4135,-0.34675
